0,1,2,3,4,raio,time,7,8,raio,time,11,12,,time,15,16,,time
ret_cvxp_16_22,cvxps_size,10.8749965,cutoff-w-sep-10,0.79112818,0.072747442,0.1943554,cutoff-w-sep-16,1.262739613,0.116114025,0.3244233,cutoff-w-sep-22,2.099980911,0.193101755,0.4600263,cutoff-w-sep-28,2.297533701,0.211267535,0.5670673
ret_cvxp_16_23,cvxps_size,12.206533,cutoff-w-sep-10,1.357093268,0.111177618,0.1726847,cutoff-w-sep-16,1.500208226,0.122902074,0.2991523,cutoff-w-sep-22,1.52580233,0.124998829,0.3981621,cutoff-w-sep-28,1.56881254,0.128522369,0.5049777
ret_cvxp_16_24,cvxps_size,11.391483,cutoff-w-sep-10,1.185884667,0.104102746,0.1363088,cutoff-w-sep-16,1.258219556,0.110452656,0.2327615,cutoff-w-sep-22,1.840860677,0.161599739,0.315004,cutoff-w-sep-28,1.780977803,0.156342928,0.3952815
ret_cvxp_16_25,cvxps_size,10.7605235,cutoff-w-sep-10,1.566003862,0.145532312,0.225158,cutoff-w-sep-16,1.999292592,0.185798822,0.3741843,cutoff-w-sep-22,2.00714632,0.186528687,0.4978449,cutoff-w-sep-28,2.304995276,0.21420847,0.6500283
ret_cvxp_16_3,cvxps_size,3.804805,cutoff-w-sep-10,0.544699125,0.143160852,0.1862384,cutoff-w-sep-16,0.673276787,0.176954348,0.32373,cutoff-w-sep-22,0.717999452,0.188708607,0.4187405,cutoff-w-sep-28,0.764442219,0.200914953,0.5677767
ret_cvxp_16_4,cvxps_size,3.83811,cutoff-w-sep-10,0.575068955,0.149831285,0.2122609,cutoff-w-sep-16,0.733591364,0.191133491,0.3239539,cutoff-w-sep-22,0.793802665,0.206821239,0.4611289,cutoff-w-sep-28,0.845169369,0.220204572,0.5735649
ret_cvxp_16_5,cvxps_size,3.903183,cutoff-w-sep-10,0.579816542,0.148549669,0.2294086,cutoff-w-sep-16,0.808413309,0.207116425,0.3423039,cutoff-w-sep-22,0.881352856,0.225803621,0.4890402,cutoff-w-sep-28,0.840258293,0.215275147,0.6126418
ret_cvxp_18_1,cvxps_size,4.3090515,cutoff-w-sep-10,0.4882034,0.113297184,0.2076219,cutoff-w-sep-16,0.769643509,0.178610887,0.3352599,cutoff-w-sep-22,0.806391589,0.187139,0.4472535,cutoff-w-sep-28,0.821592601,0.190666693,0.5811117
ret_cvxp_18_11,cvxps_size,7.24966,cutoff-w-sep-10,0.693489053,0.095658149,0.1907053,cutoff-w-sep-16,1.012732897,0.139693847,0.3549152,cutoff-w-sep-22,1.174492942,0.162006624,0.4831188,cutoff-w-sep-28,1.338022468,0.184563479,0.6276531
ret_cvxp_18_12,cvxps_size,8.1751475,cutoff-w-sep-10,1.598618242,0.195546104,0.2531453,cutoff-w-sep-16,1.539888801,0.188362204,0.4081508,cutoff-w-sep-22,1.958748894,0.239597988,0.5365608,cutoff-w-sep-28,1.696404914,0.20750756,0.6860176
ret_cvxp_18_13,cvxps_size,7.8336315,cutoff-w-sep-10,0.630693988,0.080511062,0.1967458,cutoff-w-sep-16,0.775915149,0.099049228,0.3043853,cutoff-w-sep-22,0.856687058,0.109360143,0.4335895,cutoff-w-sep-28,0.902121256,0.115160032,0.5531951
ret_cvxp_18_14,cvxps_size,7.705729,cutoff-w-sep-10,0.695310853,0.090232975,0.2051841,cutoff-w-sep-16,1.100483709,0.142813705,0.3219808,cutoff-w-sep-22,1.212720869,0.157379123,0.4606079,cutoff-w-sep-28,1.255344659,0.162910564,0.5770128
