nb_cvxp,idx,,nb_SECs,nb_SDCs,nb_GBCs,Time_SECs,Time_SDCs,Time_GBCs,Model time,MIPGap,ObjVal
14,21,1.25,36,0,18,0.0005356,0,0.7749949,1.275970459,0,47.53762271
14,22,1.25,40,0,89,0.0007406,0,3.8073143,5.049514771,0,49.0398615
14,23,1.25,52,0,114,0.000919,0,4.938022,6.186969757,0,47.03460987
14,24,1.25,74,0,69,0.0011362,0,3.3015242,5.939023972,0,43.19566584
14,25,1.25,68,0,167,0.0014056,0,8.5487267,11.09952164,0,43.62118282
16,1,0.75,122,0,76,0.0026173,0,4.571826,11.61653328,0,51.47665839
16,2,0.75,40,0,25,0.0008126,0,1.1924474,1.829000473,0,50.31999241
16,3,0.75,48,0,72,0.0009956,0,3.5813942,5.320999146,0,46.67766425
16,4,0.75,26,0,55,0.0004906,0,2.7291637,3.298000336,0,50.82863127
16,5,0.75,126,0,105,0.0020313,0,5.2125191,7.782577515,0,46.06764244
16,11,1,38,0,59,0.0007334,0,2.8942664,4.192661285,0,46.08067471
16,12,1,180,0,199,0.0035042,0,12.0008477,26.25655937,0,48.45488095
16,13,1,70,0,56,0.0014042,0,2.7790138,3.626001358,0,44.28995734
16,14,1,144,0,173,0.0026618,0,10.4030305,23.48655319,0,47.52648787
16,15,1,152,0,80,0.0024571,0,4.1810837,7.099000931,0,50.8644436
