nb_cvxp,idx,nb_SECs,nb_SDCs,nb_GBCs,Time_SECs,Time_SDCs,Time_GBCs,Model Time,MIPGap,ObjVal
16,4,124,30,27,0.0012406,0.0011007,1.3226289,1.425001144,0,44.0750377
16,5,1366,771,38,0.0154905,0.0255337,2.3886094,4.397996902,0,41.40083399
16,11,708,186,245,0.0068354,0.0085195,14.9357251,16.76105881,0,42.71453877
16,12,684,275,135,0.0072318,0.0106892,7.6480016,8.600782394,0,39.78456651
16,13,566,277,102,0.00525,0.0094538,6.1854285,7.191570282,0,42.21047206
16,14,536,424,71,0.0046792,0.0144734,3.9971409,4.863998413,0,37.02779079
16,15,844,74,67,0.0085328,0.0043868,3.3372723,3.723608017,0,45.52951151
16,21,70,28,29,0.0006642,0.0010839,1.4223379,1.509000778,0,37.53617552
16,22,636,372,368,0.0075958,0.0159745,22.6226822,24.38354111,0,37.27142477
16,23,2236,1599,373,0.024332,0.062249,23.5604019,28.74139786,0,42.07570077
16,24,1010,376,641,0.0119408,0.0200286,38.7285207,42.99705505,0,31.73626074
16,25,1912,1588,349,0.02295,0.0606653,22.1755006,44.57759666,0,36.73817971
18,1,1850,4154,97,0.0192768,0.1591968,8.5303869,27.74654007,0,51.32140274
